time,setpoint,temperature,control
22.5,50,50.1559,0
22.6,50,49.8543,5.99769
22.7,50,50.1555,0
22.8,50,49.854,5.99784
22.9,50,50.1552,0
23,50,49.8537,5.99798
23.1,50,50.1549,0
23.2,50,49.8534,5.99811
23.3,50,50.1547,0
23.4,50,49.8531,5.99823
23.5,50,50.1544,0
23.6,50,49.8529,5.99835
23.7,50,50.1542,0
23.8,50,49.8526,5.99846
23.9,50,50.1539,0
24,50,49.8524,5.99856
24.1,50,50.1537,0
24.2,50,49.8522,5.99865
24.3,50,50.1535,0
24.4,50,49.852,5.99874
24.5,50,50.1534,0
24.6,50,49.8518,5.99882
24.7,50,50.1532,0
24.8,50,49.8517,5.9989
24.9,50,50.153,0
25,50,49.8515,5.99897
25.1,50,50.1529,0
25.2,50,49.8514,5.99904
25.3,50,50.1527,0
25.4,50,49.8512,5.9991
25.5,50,50.1526,0
25.6,50,49.8511,5.99916
25.7,50,50.1525,0
25.8,50,49.851,5.99921
25.9,50,50.1524,0
26,50,49.8509,5.99926
26.1,50,50.1523,0
26.2,50,49.8507,5.99931
26.3,50,50.1522,0
26.4,50,49.8507,5.99936
26.5,50,50.1521,0
26.6,50,49.8506,5.9994
26.7,50,50.152,0
26.8,50,49.8505,5.99944
26.9,50,50.1519,0
27,50,49.8504,5.99948
27.1,50,50.1518,0
27.2,50,49.8503,5.99951
27.3,50,50.1518,0
27.4,50,49.8502,5.99954
27.5,50,50.1517,0
27.6,50,49.8502,5.99957
27.7,50,50.1516,0
27.8,50,49.8501,5.9996
27.9,50,50.1516,0
28,50,49.8501,5.99963
28.1,50,50.1515,0
28.2,50,49.85,5.99965
28.3,50,50.1515,0
28.4,50,49.85,5.99967
28.5,50,50.1514,0
28.6,50,49.8499,5.99969
28.7,50,50.1514,0
28.8,50,49.8499,5.99971
28.9,50,50.1513,0
29,50,49.8498,5.99973
29.1,50,50.1513,0
29.2,50,49.8498,5.99975
29.3,50,50.1513,0
29.4,50,49.8498,5.99977
29.5,50,50.1512,0
29.6,50,49.8497,5.99978
29.7,50,50.1512,0
29.8,50,49.8497,5.9998
29.9,50,50.1512,0
30,50,49.8497,5.99981
30.1,50,50.1511,0
30.2,50,49.7496,7.20482
30.3,50,50.0726,0
30.4,50,49.6719,7.36522
30.5,50,50.0117,0
30.6,50,49.6116,7.49859
30.7,50,49.9653,0
30.8,50,49.5657,7.60923
30.9,50,49.9309,0
31,50,49.5316,7.70075
31.1,50,49.9064,0
31.2,50,49.5073,7.77622
31.3,50,49.8899,0
31.4,50,49.491,7.83822
31.5,50,49.8799,0
31.6,50,49.4811,7.88895
31.7,50,49.8752,0
31.8,50,49.4764,7.93023
31.9,50,49.8747,0
32,50,49.4759,7.96363
32.1,50,49.8775,0
32.2,50,49.4788,7.99044
32.3,50,49.883,0
32.4,50,49.4842,8.01178
32.5,50,49.8905,0
32.6,50,49.4916,8.02856
32.7,50,49.8996,0
32.8,50,49.5006,8.04157
32.9,50,49.9097,0
33,50,49.5106,8.05146
33.1,50,49.9207,0
33.2,50,49.5214,8.05878
33.3,50,49.9321,0
33.4,50,49.5328,8.064
33.5,50,49.9439,0
33.6,50,49.5444,8.06749
33.7,50,49.9557,0
33.8,50,49.5562,8.06959
33.9,50,49.9676,0
34,50,49.5679,8.07056
34.1,50,49.9793,0
34.2,50,49.5795,8.07062
34.3,50,49.9907,0
34.4,50,49.5908,8.06997
34.5,50,50.0019,0
34.6,50,49.6019,8.06876
34.7,50,50.0128,0
34.8,50,49.6126,8.06711
34.9,50,50.0232,0
35,50,49.623,8.06514
35.1,50,50.0333,0
35.2,50,49.6329,8.06293
35.3,50,50.0429,0
35.4,50,49.6425,8.06056
35.5,50,50.0521,0
35.6,50,49.6516,8.05807
35.7,50,50.0609,0
35.8,50,49.6603,8.05553
35.9,50,50.0692,0
36,50,49.6685,8.05296
